m,y,tipo,t,nombremes
2,1971,max,20,Febrero
2,1971,max,18.5,Febrero
2,1971,max,23.5,Febrero
2,1971,max,23,Febrero
2,1971,max,26,Febrero
2,1971,max,29,Febrero
2,1971,max,30.5,Febrero
2,1971,max,30,Febrero
2,1971,max,31,Febrero
2,1971,max,28,Febrero
2,1971,max,22,Febrero
2,1971,max,13,Febrero
2,1971,max,13,Febrero
2,1971,max,16,Febrero
2,1971,max,15,Febrero
2,1971,max,13.5,Febrero
2,1971,max,20,Febrero
2,1971,max,13.5,Febrero
2,1971,max,11.5,Febrero
2,1971,max,19,Febrero
2,1971,max,16.5,Febrero
2,1971,max,19.5,Febrero
2,1971,max,16,Febrero
2,1971,max,12.5,Febrero
3,1971,max,13.5,Marzo
3,1971,max,18.5,Marzo
3,1971,max,24.5,Marzo
3,1971,max,22,Marzo
3,1971,max,19,Marzo
3,1971,max,25.5,Marzo
3,1971,max,24,Marzo
3,1971,max,22.5,Marzo
3,1971,max,21,Marzo
3,1971,max,18,Marzo
3,1971,max,18.5,Marzo
3,1971,max,22.5,Marzo
3,1971,max,13,Marzo
3,1971,max,21.5,Marzo
3,1971,max,28,Marzo
3,1971,max,30,Marzo
3,1971,max,24.5,Marzo
3,1971,max,27.5,Marzo
3,1971,max,22,Marzo
3,1971,max,26,Marzo
3,1971,max,26.5,Marzo
3,1971,max,27,Marzo
3,1971,max,25.5,Marzo
3,1971,max,19,Marzo
3,1971,max,21.5,Marzo
3,1971,max,26.5,Marzo
3,1971,max,22.5,Marzo
3,1971,max,26.5,Marzo
3,1971,max,34.5,Marzo
3,1971,max,28.5,Marzo
3,1971,max,24.5,Marzo
4,1971,max,31.5,Abril
4,1971,max,31,Abril
4,1971,max,31.5,Abril
4,1971,max,33,Abril
4,1971,max,33.5,Abril
4,1971,max,30.5,Abril
4,1971,max,23,Abril
4,1971,max,21.5,Abril
4,1971,max,25.5,Abril
4,1971,max,30,Abril
4,1971,max,28.5,Abril
4,1971,max,29.5,Abril
4,1971,max,29,Abril
4,1971,max,14.5,Abril
4,1971,max,20,Abril
4,1971,max,16.5,Abril
4,1971,max,16.5,Abril
4,1971,max,12,Abril
4,1971,max,15.5,Abril
4,1971,max,15.5,Abril
4,1971,max,12.5,Abril
4,1971,max,21,Abril
4,1971,max,21.5,Abril
4,1971,max,18,Abril
4,1971,max,14,Abril
4,1971,max,17.5,Abril
4,1971,max,17,Abril
4,1971,max,19.5,Abril
4,1971,max,22.5,Abril
4,1971,max,25,Abril
5,1971,max,22.5,Mayo
5,1971,max,23.5,Mayo
5,1971,max,20,Mayo
5,1971,max,19.5,Mayo
5,1971,max,14,Mayo
5,1971,max,15,Mayo
5,1971,max,19,Mayo
5,1971,max,20,Mayo
5,1971,max,23.5,Mayo
5,1971,max,24,Mayo
5,1971,max,26,Mayo
5,1971,max,23.5,Mayo
5,1971,max,31.5,Mayo
5,1971,max,24.5,Mayo
5,1971,max,24.5,Mayo
5,1971,max,23.5,Mayo
5,1971,max,27.5,Mayo
5,1971,max,30.5,Mayo
5,1971,max,32,Mayo
5,1971,max,26.5,Mayo
5,1971,max,17.5,Mayo
5,1971,max,21,Mayo
5,1971,max,25,Mayo
5,1971,max,30,Mayo
5,1971,max,31,Mayo
5,1971,max,24,Mayo
5,1971,max,18.5,Mayo
5,1971,max,14.5,Mayo
5,1971,max,22.5,Mayo
5,1971,max,21.5,Mayo
5,1971,max,22,Mayo
6,1971,max,21,Junio
6,1971,max,18,Junio
6,1971,max,24,Junio
6,1971,max,26,Junio
6,1971,max,25.5,Junio
6,1971,max,24,Junio
6,1971,max,23.5,Junio
6,1971,max,22,Junio
6,1971,max,21.5,Junio
6,1971,max,21,Junio
6,1971,max,25,Junio
6,1971,max,29,Junio
6,1971,max,35,Junio
6,1971,max,38,Junio
6,1971,max,37,Junio
6,1971,max,37,Junio
6,1971,max,34,Junio
6,1971,max,35.5,Junio
6,1971,max,37.5,Junio
6,1971,max,40.5,Junio
6,1971,max,42,Junio
6,1971,max,36.5,Junio
6,1971,max,32.5,Junio
6,1971,max,30,Junio
6,1971,max,31.5,Junio
6,1971,max,27.5,Junio
6,1971,max,29.5,Junio
6,1971,max,30,Junio
6,1971,max,31,Junio
6,1971,max,25,Junio
7,1971,max,31.5,Julio
7,1971,max,32,Julio
7,1971,max,31,Julio
7,1971,max,33,Julio
7,1971,max,37,Julio
7,1971,max,39,Julio
7,1971,max,43,Julio
7,1971,max,42,Julio
7,1971,max,35.5,Julio
7,1971,max,39,Julio
7,1971,max,39,Julio
7,1971,max,33,Julio
7,1971,max,31.5,Julio
7,1971,max,35,Julio
7,1971,max,37.5,Julio
7,1971,max,31.5,Julio
7,1971,max,36.5,Julio
7,1971,max,35,Julio
7,1971,max,35,Julio
7,1971,max,35,Julio
7,1971,max,32,Julio
7,1971,max,31,Julio
7,1971,max,34.5,Julio
7,1971,max,35.5,Julio
7,1971,max,36,Julio
7,1971,max,40,Julio
7,1971,max,37,Julio
7,1971,max,38,Julio
8,1971,max,39.5,Agosto
8,1971,max,34.5,Agosto
